Usecase,Quantity,Price,Link
Stepper Motor For Rotating Carousel And one for bird,2,0(I have them at home),https://www.amazon.com/YEJMKJ-Stepper-118-95oz%C2%B7-Bipolar-Printer/dp/B0FHHW54DD/ref=sr_1_1_sspa?crid=VUZQVZCDRS7D&dib=eyJ2IjoiMSJ9.hN-9QQUUabt-Xybqh_2heR98RZF63Ta1ccsb31AzJZnRX4vEXFmU6RodEutE3nss5oajdgUK1JpCg-V2kdytfMkAqQkJPEqKsksUnUb3avbpsu6yRoXuASLZBEI62Zz0pVubhYeNNd60MurLUjiyHBZ1gdrlXU4SkKTXuO2HQk6jXCmTdRZcVcvdTMwA5uxZ76WKUIh6stFoHtqz-pdslsdGKQuGCpsfBToF7TyQqRM.5HA5W-JEyn1NT3Z8cxiliSx9tAy3SoqN0__hYZrwfJA&dib_tag=se&keywords=nema+17+motor&qid=1785083448&sprefix=nema+17+motor%2Caps%2C182&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
Microcontroller,1,0(I have one),https://www.amazon.com/ELEGOO-Board-ATmega328P-ATMEGA16U2-Compliant/dp/B01EWOE0UU/ref=sr_1_2_sspa?crid=WDDTX6NSBGIQ&dib=eyJ2IjoiMSJ9.l-LnYHdK3nC_IV8JzW5avBOlu35HV97JAxievEN_WUAcBKFAsIU8VtLC0BDz9LupvoSgsdfvYfjtkfiym_DFWUvdVoSwDQNRbPpXbSZmVDGGTb3O9PoJuCIp_N5zFA0MG-fsZ4JSjHZI2doCMuGVtTZu9ArpdVVY8hL8h_BmQezBSIqzJgQLsF5YU3_pRdbAMugihvjdIcQOfmQq9yQ8W_s_fWaWNzX-9EmgODc1RSw.1cv-3VDZuiRqE9nfFrm1v1Jk3IFxzajwcdxwwhzFGe8&dib_tag=se&keywords=arduino+uno&qid=1785090670&sprefix=arduino+uno%2Caps%2C187&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
Connect to wall,1,8.5,https://www.amazon.com/VSEER-Universal-Appliance-Replacement-Pigtail/dp/B07KN7MN9C?th=1
12v  Power Supply,1,20,https://www.amazon.com/ALITOVE-Transformer-Switching-Converter-Security/dp/B078RZ6C3N/ref=sr_1_4?crid=I45GEA8J58LH&dib=eyJ2IjoiMSJ9.guudMDN4WPBPo26rltl5aLO6KHjt7eUjiect0Lrida5BzswTKqDsvF2F29s5ong7rdlSnvZoicaqwN3SZxdzYTNoMVjM3dEoW6KzSI4mgWl6158Sk0Vir-fTTBMQ1X2piKp4KxyG0rEtdHY0yulNspIYSy4SdDV_VCzpUCrKT6MdA-N4mISVa6bsWjbwGmDwvYk4kH2cs_abCvp9A51MfxS3KkZ1lwDW6N_CACZCu10.isKyLvWb6c19DrHajaeu17Oo4awhkYshYF8dhNjeYzw&dib_tag=se&keywords=15a+power+supply+12v&qid=1785093265&sprefix=15a+power+supply+12%2Caps%2C174&sr=8-4
8pcs TT Motor,1,10,https://www.amazon.com/AEDIKO-Motor-Gearbox-200RPM-Ratio/dp/B09N6NXP4H/ref=sr_1_1?crid=2GQOLC2LOPQGD&dib=eyJ2IjoiMSJ9.-5JjVdh1xtt7Gp3cRFCzyytzpCzRlMmbDws9bU3FgyeY03A5e7CQzCOqSgsbS8CIFLGr7TNjw9LpU6_AwbsoRcqEe_baOqqwApu0hsMOayTpqEOC6g0up_7BJ9MqkCjqZXVkQwKqB0e0G0HoMtEhEEYdp4BQpevrzdUJOkXNxqYcZ98YhL34_0VNMMoJF-86-mplIEbke2PUL9ehsJIc5D6P6AQD7gM8dK9LfVeYeMU0-UiVtCslOJtfmRLgi30yDwNZ2IKm7PYtFffBXhsU48QMcL3brDmLYshb1MSu28I.nDu-klwB5dOGw8bKSbh_9_jc2MDfv564pU3JPwuteY8&dib_tag=se&keywords=tt+motor+high+torque&qid=1785093728&sprefix=tt+motor+high+torqu%2Caps%2C195&sr=8-1
Linear Rail For Birb,1,20.5,https://www.amazon.com/KGTCN-Miniature-Sliding-Guideway-Machine/dp/B0C3CTWP51/ref=sr_1_1_sspa?crid=17JL77B6Q7K7J&dib=eyJ2IjoiMSJ9.NX10SdRLiCl4jAxDwBd3S5I-5TwLGy7MDD5A_VpYbeSUjH1x-mRx0c2CjeDVOPls1oOTh3kBgH57fNmRXGOhKf66kUs3BnJFUb2AOSTGKxW_fWZ1lz2dci03QUTnYksC57Ghiv77L1_-C1qzhNqsym_W-AMxs0dOd78ZTsPM2xqYdkMBrWZr-wucOoTSnzMOEliEQ4gmS9D-ZuDg9B7CeDSjw9OHA8Qix9QKJpcLqSw.0F5O5nLOKY9fC1eMDNyS9QidWCoKU22Lzzg-pG_Agtc&dib_tag=se&keywords=%22KGTCN%2BMGN12H%2B300mm&qid=1785093972&sprefix=kgtcn%2Bmgn12h%2B300mm%2Caps%2C222&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1
Pulleys+Belt for Linear Rail,1,15,https://www.amazon.com/Timing-Pulley-20Teeth-Tensioner-Lukcase/dp/B07MF6TDHF
2pcs motor driver,1,16,https://www.amazon.com/Tofelf-Stepper-Upgraded-Subdivision-Controller/dp/B0C64RDCVD
Slip Ring,1,22,https://www.amazon.com/Taidacent-Conductive-Collector-Electrical-Commutator/dp/B07NW9PT4P/ref=sr_1_1_sspa?dib=eyJ2IjoiMSJ9.zZCzV_t7yPT4YCnfa5Zh0S09KBGxOuGft5N1Zd8AgSkJIiEi_rlrk4SWY-FUL9O3KFcyVeDzrc5-F_lH2BM71gJNNgsEHdtgvs7zAEdatS2ObxdV84UR6livVWG8cXW9Jc9GOETPvb_nPqTo9-JkAikcrLSHZsbSB1rru9rDp2imRSPW3abxtqOBC5Gr_Vq1S-DWueknS_nwJ0liXbHwjojdCM3H67ydV6QbnLxvIJN5KUmDarTeis8MjCJjq1ZbL8BdSZPcQb78N6unJbw_v6EJK_PWYu2zIWyWCbIFAxw.waTj5iDo78PlEfM0pl-eY3ji77zhPTWXvIl_yoiU4WE&dib_tag=se&keywords=slip+ring&qid=1785102824&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
Buck Converter For TT motor,0.5,10,https://www.amazon.com/Converter-Adjustable-Regulator-Voltmeter-Display%EF%BC%88Pack/dp/B0F1M2SR31/ref=sr_1_6?crid=DGXJ0N0BH72N&dib=eyJ2IjoiMSJ9.aAkUyMc7-cmRDwpnNN5nsLvpTMfOtq9V5eFIaGbYogm33p1Ft-wbI5LjoSMTNGy3p3GkzbpF5_oEpugkDrQnf8w1yTxKPY1qsJ2o1tVDIedmkzSrddoDlog5E6HQia37z3s2GVSptgQauF9dGRGEMIJO4JPpKKrg-GqQG6m3yWxBpobBreh0wU7ehG_1J9_ZsAqFxUaFoGxdO-2Vdaqt-Db4d2bu5pMmQhpBlYo_4Cs.rEGk998fCXNB8o3ZxiuKf9u7qf6FVBWaHH0AiLN_TH4&dib_tag=se&keywords=buck%2Bconverter&qid=1785103230&sprefix=buck%2Bconverte%2Caps%2C193&sr=8-6&th=1
